type,technology,group,sample_id,parent_1,parent_2,species/variety,phenotype/treatment,tissue_sampled,date,data_location,file_prefix,project_leaders,project_investigators,project_id,project_details,other_notes,rdss_location
dna,illumina,cis,Juice vesicle cell line #1,Mtt (irradiated),.,Crus reticulata (21465),Susceptible,Callus,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Mo,Mo_1_S1,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Mo KatXXX,MoHistogenLayers,.,PTC-generated 21465 seedless variety  ,.
dna,illumina,cis,Juice vesicle cell line #2,Mtt (irradiated),.,Crus reticulata (21465),Susceptible,Callus,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Mo,Mo_2_S2,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Mo KatXXX,MoHistogenLayers,.,PTC-generated 21465 seedless variety  ,.
dna,illumina,cis,Juice vesicle cell line #3,Mtt (irradiated),.,Crus reticulata (21465),Susceptible,Callus,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Mo,Mo_3_S3,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Mo KatXXX,MoHistogenLayers,.,PTC-generated 21465 seedless variety  ,.
dna,illumina,cis,Juice vesicle cell line #4,Mtt (irradiated),.,Crus reticulata (21465),Susceptible,Callus,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Mo,Mo_4_S4,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Mo KatXXX,MoHistogenLayers,.,PTC-generated 21465 seedless variety  ,.
dna,illumina,cis,Small seeds cell lineÊ#4,Mtt (irradiated),.,Crus reticulata (21465),Susceptible,Callus,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Mo,Mo_5_S5,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Mo KatXXX,MoHistogenLayers,.,PTC-generated 21465 seedless variety  ,.
dna,illumina,cis,IGS-1139,Gce (irradiated seed),.,Crus reticulata,brown_spot_susceptible,irradiated seedling,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Jas,Jas_21_S39,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,.,HistogenLayers4,.,.,.
dna,illumina,cis,IGS-885,Gce (irradiated seed),.,Crus reticulata,brown_spot_susceptible,irradiated seedling,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Jas,Jas_22_S40,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,.,HistogenLayers4,.,.,.
dna,illumina,cis,IGS-739,Gce (irradiated seed),.,Crus reticulata,brown_spot_susceptible,irradiated seedling,Mar-25,/work/PL/sequencing/dna/illumina/cis/NGS_647_Jas,Jas_23_S41,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,.,HistogenLayers4,.,.,.
rna,rnaseq,cis,Gce_toxin_14hrs_rep3_colourPurple_toxin1Experiment,.,.,Gce,ACT(toxin),.,Sep-23,/work/PL/sequencing/rna/rnaseq/cis/NGS_526_P_mRNA,Ama-1_S191,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Zary SteYYY,HistogenLayers5, pathogen,time:14hrs; replicate:3; colour:Purple,.
rna,rnaseq,cis,Murc_toxin_14hrs_rep2_colourPurple_toxin1Experiment,.,.,Murc,ACT,.,Sep-23,/work/PL/sequencing/rna/rnaseq/cis/NGS_526_P_mRNA,Ama-2_S192,Aaaaaaa Mls; Abbbbb Papanicolaou; Ppppp Ps,Zary SteYYY,HistogenLayers5, pathogen,time:14hrs; replicate:2; colour:Purple,.
